"","X","Chromosome","Start","End","Strand","Strand.1","AddressA","AddressB","Design","Color","Context","Random","HumanMethylation27","Mismatches.A","Mismatches.B","CGI.Relation","CpG","GC","SNPs.3","SNPs.5","SNPs.Full","Cross.reactive","ID"
"38125","cg00921930","chr8",30059859,30059860,"+","+",43606436,43606436,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,56,1,1,1,0,"cg00921930"
"38135","cg08961299","chr8",30515717,30515718,"+","+",19604366,25668501,"I","Red","CG",FALSE,FALSE,0,1,"Island",14,76,1,1,1,0,"cg08961299"
"38145","cg23558764","chr8",30635400,30635401,"+","+",71621372,45770508,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",4,46,1,1,1,0,"cg23558764"
"38146","cg00062119","chr8",30769864,30769865,"+","+",14701408,11647490,"I","Red","CG",FALSE,FALSE,0,0,"Island",14,78,1,1,1,0,"cg00062119"
"38159","cg15835792","chr8",32409008,32409009,"-","-",30778347,30778347,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,50,1,1,1,0,"cg15835792"
"38165","cg25498139","chr8",32783050,32783051,"-","-",72604411,72604411,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,46,1,1,1,0,"cg25498139"
"38168","cg01581037","chr8",33342441,33342442,"+","+",35778319,35778319,"II","Both","CG",FALSE,FALSE,0,0,"Island",13,73,1,1,1,0,"cg01581037"
"38184","cg27627674","chr8",33448880,33448881,"+","+",19664466,19664466,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,43,1,1,1,0,"cg27627674"
"38185","cg18988159","chr8",33459821,33459822,"+","+",52799333,52799333,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,38,1,1,1,0,"cg18988159"
"38188","cg16119493","chr8",33969164,33969165,"-","-",52751487,52751487,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,33,1,1,2,0,"cg16119493"
"38193","cg24787823","chr8",35613299,35613300,"-","-",15687482,15687482,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,38,1,1,1,0,"cg24787823"
"38212","cg17816390","chr8",37553296,37553297,"-","-",44807380,60803502,"I","Red","CG",FALSE,FALSE,0,0,"Island",14,67,1,1,1,0,"cg17816390"
"38217","cg01981230","chr8",37594125,37594126,"-","-",40719441,39720345,"I","Red","CG",FALSE,FALSE,0,0,"Island",14,62,1,1,1,0,"cg01981230"
"38223","cg23245289","chr8",37698900,37698901,"+","+",58772459,25796473,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,67,1,1,1,0,"cg23245289"
"38243","cg15321288","chr8",38326400,38326401,"-","-",46660455,74679393,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",6,64,0,1,1,0,"cg15321288"
"38253","cg02370040","chr8",38641227,38641228,"+","+",53721454,53721454,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,54,0,1,1,0,"cg02370040"
"38260","cg16866567","chr8",38759261,38759262,"-","-",43691474,61692352,"I","Grn","CG",FALSE,FALSE,0,0,"Island",9,72,1,1,3,0,"cg16866567"
"38264","cg21028319","chr8",38847958,38847959,"-","-",71711491,71711491,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,45,1,1,1,0,"cg21028319"
"38271","cg11583762","chr8",39172020,39172021,"-","-",34739476,34739476,"II","Both","CG",FALSE,FALSE,1,0,"Open Sea",6,55,0,1,1,0,"cg11583762"
"38280","cg15172011","chr8",40290016,40290017,"+","+",39723436,32684332,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,51,1,1,1,647,"cg15172011"
"38284","cg15331603","chr8",40692258,40692259,"-","-",69739325,69739325,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,49,1,1,1,0,"cg15331603"
"38290","cg22624147","chr8",41119723,41119724,"+","+",56616332,56616332,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,46,1,1,1,0,"cg22624147"
"38313","cg14927724","chr8",41559608,41559609,"+","+",66647494,66647494,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,55,1,1,1,0,"cg14927724"
"38318","cg03183700","chr8",41707736,41707737,"+","+",27689358,27689358,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,54,1,1,1,0,"cg03183700"
"38319","cg24800880","chr8",41733711,41733712,"+","+",34668433,52708314,"I","Red","CG",FALSE,FALSE,0,1,"Island",12,80,0,1,1,0,"cg24800880"
"38325","cg08294590","chr8",41909830,41909831,"-","-",11724411,31700411,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,68,1,1,1,0,"cg08294590"
"38340","cg16439296","chr8",42245169,42245170,"+","+",42717483,42717483,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,49,1,1,1,0,"cg16439296"
"38341","cg15653945","chr8",42249265,42249266,"-","-",51742308,45698367,"I","Red","CG",FALSE,FALSE,0,0,"Island",18,75,1,1,2,0,"cg15653945"
"38349","cg26248082","chr8",42356127,42356128,"-","-",39774365,39774365,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,47,1,1,1,0,"cg26248082"
"38352","cg22485774","chr8",42547413,42547414,"-","-",49616472,38617415,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",6,56,1,1,1,0,"cg22485774"
"38366","cg06043048","chr8",43132256,43132257,"-","-",66685331,65633458,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,67,1,1,2,0,"cg06043048"
"38385","cg11558378","chr8",48100898,48100899,"+","+",63678472,14729417,"I","Red","CG",FALSE,FALSE,0,0,"Island",8,70,1,1,1,0,"cg11558378"
"38388","cg10317162","chr8",48397680,48397681,"+","+",54806372,56719401,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",3,53,0,1,1,1,"cg10317162"
"38399","cg01212215","chr8",49167054,49167055,"-","-",26706329,26706329,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,1,1,1,"cg01212215"
"38404","cg23357764","chr8",49333003,49333004,"-","-",33649499,33649499,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,46,1,1,1,0,"cg23357764"
"38407","cg06172865","chr8",49426480,49426481,"-","-",63779466,63779466,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",1,50,1,1,1,0,"cg06172865"
"38414","cg07179816","chr8",49647907,49647908,"+","+",64646313,48634404,"I","Grn","CG",FALSE,FALSE,0,0,"Island",10,70,0,2,2,0,"cg07179816"
"38417","cg00099985","chr8",49823155,49823156,"+","+",50638454,50638454,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,66,1,1,1,0,"cg00099985"
"38424","cg26461695","chr8",50824358,50824359,"+","+",18732466,18732466,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",11,66,0,1,1,0,"cg26461695"
"38434","cg26905261","chr8",53322619,53322620,"+","+",69737343,69737343,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,58,0,1,1,0,"cg26905261"
"38447","cg26467187","chr8",53864533,53864534,"-","-",65772506,65772506,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,56,1,1,2,5,"cg26467187"
"38450","cg20336122","chr8",54165371,54165372,"+","+",31758435,31758435,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,48,1,1,1,0,"cg20336122"
"38460","cg15965422","chr8",54687817,54687818,"+","+",70671508,70671508,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,53,0,1,1,20,"cg15965422"
"38469","cg12619747","chr8",55180538,55180539,"+","+",24654347,24654347,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,48,1,1,2,0,"cg12619747"
"38504","cg10286363","chr8",56987302,56987303,"+","+",16789300,16789300,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,64,1,1,3,0,"cg10286363"
"38513","cg24793642","chr8",57351185,57351186,"+","+",22786401,22786401,"II","Both","CG",FALSE,FALSE,0,0,"Island",2,48,1,1,1,0,"cg24793642"
"38516","cg20787219","chr8",57360738,57360739,"-","-",41602474,41602474,"II","Both","CG",FALSE,FALSE,1,0,"Island",7,68,1,1,1,0,"cg20787219"
"38524","cg04688788","chr8",58054756,58054757,"+","+",18746475,18746475,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,59,1,1,2,0,"cg04688788"
"38533","cg01861657","chr8",58117125,58117126,"+","+",13675509,13675509,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",5,60,1,1,2,0,"cg01861657"
"38541","cg00721703","chr8",58123513,58123514,"-","-",14640492,14640492,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,61,0,1,1,2,"cg00721703"
"38543","cg25765936","chr8",58130041,58130042,"+","+",19710302,19710302,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,64,0,1,2,0,"cg25765936"
"38573","cg15592310","chr8",59987069,59987070,"-","-",55634379,55634379,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,38,1,1,1,0,"cg15592310"
"38576","cg08579780","chr8",60609179,60609180,"-","-",68796410,68796410,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,1,1,0,"cg08579780"
"38584","cg18617589","chr8",61194108,61194109,"-","-",43620510,18728430,"I","Red","CG",FALSE,FALSE,0,0,"Island",12,72,0,1,1,0,"cg18617589"
"38589","cg02189283","chr8",61433440,61433441,"-","-",34796471,34796471,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,55,1,1,1,1,"cg02189283"
"38593","cg22810163","chr8",61591436,61591437,"-","-",28600494,18604451,"I","Red","CG",FALSE,FALSE,0,0,"Island",13,62,1,1,1,0,"cg22810163"
"38599","cg07765769","chr8",61824739,61824740,"-","-",70686409,70686409,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",1,49,1,1,1,0,"cg07765769"
"38600","cg25253207","chr8",61831678,61831679,"-","-",71600433,71600433,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,40,1,1,1,0,"cg25253207"
"38603","cg11859821","chr8",62049902,62049903,"+","+",27758417,27758417,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",1,46,1,1,1,0,"cg11859821"
"38604","cg20321086","chr8",62052207,62052208,"-","-",48745481,53754400,"I","Red","CG",FALSE,FALSE,0,0,"Island",8,72,1,1,1,0,"cg20321086"
"38606","cg09944626","chr8",62055838,62055839,"-","-",34652429,34652429,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,51,1,1,1,0,"cg09944626"
"38608","cg18462033","chr8",62536347,62536348,"-","-",65684342,65684342,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,34,1,1,1,0,"cg18462033"
"38631","cg20540566","chr8",63998327,63998328,"-","-",34701446,19753365,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,74,1,1,1,0,"cg20540566"
"38633","cg19663354","chr8",64038810,64038811,"+","+",68782322,30623383,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",5,68,1,1,1,0,"cg19663354"
"38636","cg10698928","chr8",65290320,65290321,"+","+",44693467,40790311,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,61,0,2,3,0,"cg10698928"
"38648","cg09573895","chr8",66556843,66556844,"+","+",64752332,39795317,"I","Grn","CG",FALSE,FALSE,0,0,"Island",13,70,1,1,2,0,"cg09573895"
"38649","cg11307540","chr8",66557260,66557261,"+","+",33754412,33754412,"II","Both","CG",FALSE,FALSE,0,0,"Island",8,69,0,1,1,0,"cg11307540"
"38654","cg27410091","chr8",66711941,66711942,"-","-",13677335,13677335,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,54,1,1,1,0,"cg27410091"
"38661","cg12634446","chr8",67026411,67026412,"-","-",30716412,30716412,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,51,0,1,4,0,"cg12634446"
"38663","cg22286640","chr8",67026828,67026829,"-","-",22627418,22627418,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,49,1,1,1,0,"cg22286640"
"38682","cg02724374","chr8",67681447,67681448,"-","-",70607434,70607434,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,35,1,1,1,0,"cg02724374"
"38686","cg14414764","chr8",67741966,67741967,"+","+",48764374,48764374,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,40,1,1,1,0,"cg14414764"
"38689","cg00060836","chr8",67834312,67834313,"-","-",58707509,58707509,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,37,1,1,2,0,"cg00060836"
"38691","cg11231740","chr8",68154089,68154090,"+","+",32731331,32731331,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,53,1,1,1,0,"cg11231740"
"38692","cg13021084","chr8",68223016,68223017,"+","+",50722304,50722304,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,70,1,2,2,55,"cg13021084"
"38698","cg03027179","chr8",69242974,69242975,"-","-",34652349,65753326,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,69,1,1,2,0,"cg03027179"
"38703","cg13487422","chr8",69655786,69655787,"-","-",20621369,26667460,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,66,1,1,3,228,"cg13487422"
"38708","cg08509032","chr8",70166555,70166556,"-","-",20610339,51633471,"I","Red","CG",FALSE,FALSE,0,1,"Open Sea",6,56,1,1,4,36,"cg08509032"
"38715","cg01585069","chr8",70602467,70602468,"+","+",37761347,37761347,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,47,1,1,1,5,"cg01585069"
"38720","cg08976334","chr8",70845447,70845448,"-","-",61687447,61687447,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,46,1,1,1,0,"cg08976334"
"38721","cg06015422","chr8",70907139,70907140,"+","+",19769408,40787325,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",8,66,1,1,1,0,"cg06015422"
"38733","cg14656774","chr8",71182802,71182803,"-","-",39759319,39759319,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,57,1,1,1,0,"cg14656774"
"38742","cg16808120","chr8",72269491,72269492,"+","+",10773442,10773442,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,34,1,1,1,0,"cg16808120"
"38746","cg00595086","chr8",72468561,72468562,"-","-",39654499,39654499,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,62,0,1,1,0,"cg00595086"
"38762","cg15463530","chr8",73162532,73162533,"-","-",24735436,24735436,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,47,0,1,1,0,"cg15463530"
"38763","cg00241482","chr8",73391833,73391834,"-","-",52702394,52702394,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",6,64,1,1,1,414,"cg00241482"
"38772","cg25245477","chr8",74086701,74086702,"+","+",48654311,48654311,"II","Both","CG",FALSE,FALSE,1,0,"Open Sea",6,63,1,1,1,0,"cg25245477"
"38781","cg19521573","chr8",74226253,74226254,"+","+",73795361,73795361,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,47,1,1,1,0,"cg19521573"
"38795","cg12480843","chr8",74791285,74791286,"-","-",23659445,62781404,"I","Red","CG",FALSE,FALSE,0,1,"Island",11,63,1,1,1,0,"cg12480843"
"38799","cg08526319","chr8",74888271,74888272,"-","-",48635448,20694400,"I","Grn","CG",FALSE,FALSE,0,0,"North Shore",15,79,1,1,1,0,"cg08526319"
"38803","cg12794109","chr8",75512186,75512187,"-","-",22644331,10710446,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",10,57,1,1,1,435,"cg12794109"
"38807","cg11583544","chr8",75894644,75894645,"+","+",25744351,25744351,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,49,1,1,1,0,"cg11583544"
"38821","cg05836951","chr8",77594834,77594835,"+","+",47691447,37700444,"I","Grn","CG",FALSE,FALSE,0,0,"Island",14,66,1,1,1,0,"cg05836951"
"38823","cg04686980","chr8",77893158,77893159,"+","+",59642337,59642337,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,1,2,0,"cg04686980"
"38824","cg16479131","chr8",77895682,77895683,"-","-",59711411,59711411,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,51,1,1,1,0,"cg16479131"
"38825","cg19929029","chr8",77912673,77912674,"-","-",44639472,63806335,"I","Grn","CG",FALSE,FALSE,0,0,"Island",12,74,1,1,1,0,"cg19929029"
"38830","cg00178785","chr8",79263063,79263064,"+","+",59790372,73692323,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",8,56,1,1,1,467,"cg00178785"
"38833","cg25465344","chr8",79713763,79713764,"-","-",73717457,73717457,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,57,1,1,1,0,"cg25465344"
"38847","cg14347878","chr8",80977652,80977653,"-","-",20724323,20724323,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,53,1,1,1,0,"cg14347878"
"38849","cg01857591","chr8",81083836,81083837,"+","+",58652341,22678381,"I","Red","CG",FALSE,FALSE,0,1,"Island",14,78,1,1,2,0,"cg01857591"
"38864","cg23746518","chr8",82371529,82371530,"-","-",48733493,48733493,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,43,1,1,1,0,"cg23746518"
"38867","cg26693530","chr8",82433850,82433851,"+","+",23695360,34757398,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",3,49,1,1,1,0,"cg26693530"
"38873","cg21515656","chr8",82438199,82438200,"+","+",59702309,59702309,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,41,1,1,1,0,"cg21515656"
"38874","cg22304543","chr8",82530924,82530925,"+","+",49717372,66706507,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",8,66,1,1,1,0,"cg22304543"
"38879","cg16640691","chr8",82644768,82644769,"-","-",26644333,44655352,"I","Red","CG",FALSE,FALSE,0,0,"Island",8,69,1,1,1,0,"cg16640691"
"38887","cg14347819","chr8",83284716,83284717,"-","-",66638377,66638377,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,50,1,1,1,0,"cg14347819"
"38893","cg15795515","chr8",84677364,84677365,"-","-",47696370,47696370,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,2,2,0,"cg15795515"
"38894","cg23777958","chr8",85095654,85095655,"+","+",33783344,10602478,"I","Red","CG",FALSE,FALSE,0,0,"North Shore",8,70,1,1,1,0,"cg23777958"
"38899","cg16882924","chr8",86089232,86089233,"+","+",62617304,18641360,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,62,1,1,1,0,"cg16882924"
"38908","cg00753994","chr8",86556164,86556165,"-","-",46744435,46744435,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,54,0,1,1,0,"cg00753994"
"38909","cg25765720","chr8",86556903,86556904,"+","+",23736371,23736371,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,55,1,1,1,9,"cg25765720"
"38917","cg01248426","chr8",87111155,87111156,"-","-",27641375,27641375,"II","Both","CG",FALSE,TRUE,0,0,"Open Sea",2,51,1,1,1,0,"cg01248426"
"38921","cg03954425","chr8",87520894,87520895,"-","-",22674434,11773493,"I","Red","CG",FALSE,FALSE,0,0,"Island",7,61,1,1,1,0,"cg03954425"
"38924","cg07667469","chr8",87521214,87521215,"-","-",61727373,62696387,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",4,40,0,1,1,0,"cg07667469"
"38928","cg17475172","chr8",87878728,87878729,"-","-",15742454,15742454,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,46,0,1,1,0,"cg17475172"
"38929","cg13616190","chr8",88041484,88041485,"+","+",35742392,35742392,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,36,1,1,2,0,"cg13616190"
"38943","cg24907569","chr8",90918972,90918973,"-","-",59699397,59699397,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,36,1,1,1,332,"cg24907569"
"38954","cg09417530","chr8",91658296,91658297,"+","+",38718486,38718486,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,72,1,1,1,0,"cg09417530"
"38959","cg14484176","chr8",91689542,91689543,"-","-",73803450,73803450,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,1,1,0,"cg14484176"
"38966","cg20610856","chr8",92130025,92130026,"-","-",34722366,34722366,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,49,1,1,1,0,"cg20610856"
"38970","cg26721193","chr8",93114951,93114952,"+","+",35643447,15747309,"I","Grn","CG",FALSE,FALSE,0,0,"Island",8,54,0,1,1,0,"cg26721193"
"38975","cg03457027","chr8",94573377,94573378,"-","-",39749448,39749448,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,45,1,1,1,0,"cg03457027"
"38988","cg03578886","chr8",94928855,94928856,"+","+",67714312,34710345,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,74,1,1,1,0,"cg03578886"
"39017","cg11372006","chr8",95732344,95732345,"-","-",40724442,16728347,"I","Grn","CG",FALSE,FALSE,0,0,"Island",14,80,1,1,1,0,"cg11372006"
"39020","cg22621730","chr8",95965161,95965162,"+","+",35641347,35641347,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,49,1,1,1,0,"cg22621730"
"39029","cg08383654","chr8",96278372,96278373,"+","+",13616501,13616501,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,33,1,1,2,0,"cg08383654"
"39032","cg20165884","chr8",96281478,96281479,"-","-",70684412,23781455,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,67,1,1,1,0,"cg20165884"
"39033","cg00132623","chr8",96281491,96281492,"-","-",58728320,70688435,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,69,1,1,2,0,"cg00132623"
"39035","cg03929901","chr8",96281600,96281601,"+","+",48807493,48807493,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,65,0,1,4,0,"cg03929901"
"39036","cg08165578","chr8",96281619,96281620,"+","+",67607316,14610313,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,59,1,1,2,0,"cg08165578"
"39055","cg16792957","chr8",97273974,97273975,"+","+",42765505,42765505,"II","Both","CG",FALSE,FALSE,0,0,"Island",5,58,0,1,2,0,"cg16792957"
"39057","cg12813802","chr8",97316933,97316934,"+","+",41669453,41669453,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,50,1,1,1,0,"cg12813802"
"39059","cg23402824","chr8",97418254,97418255,"-","-",69645479,69645479,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,45,1,1,1,0,"cg23402824"
"39072","cg09533869","chr8",97747124,97747125,"-","-",19733415,19733415,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,38,1,1,1,0,"cg09533869"
"39078","cg00249621","chr8",98290359,98290360,"-","-",53740397,16649388,"I","Grn","CG",FALSE,FALSE,0,1,"Island",10,58,0,1,1,0,"cg00249621"
"39080","cg05313910","chr8",98361938,98361939,"-","-",66616450,66616450,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,57,1,1,1,0,"cg05313910"
"39082","cg04264433","chr8",98610472,98610473,"-","-",55714325,55714325,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,58,1,1,1,0,"cg04264433"
"39087","cg14267551","chr8",98636775,98636776,"-","-",67789504,10757323,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,65,1,1,2,8,"cg14267551"
"39090","cg08456760","chr8",98656071,98656072,"-","-",25697449,25697449,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",7,67,1,1,1,0,"cg08456760"
"39102","cg14023453","chr8",99129506,99129507,"-","-",45769466,66613427,"I","Grn","CG",FALSE,FALSE,0,0,"Island",10,65,1,1,1,0,"cg14023453"
"39109","cg22313078","chr8",99171384,99171385,"+","+",53738404,53738404,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,33,1,1,2,0,"cg22313078"
"39111","cg00330789","chr8",99306953,99306954,"+","+",48616399,48616399,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,37,1,1,1,0,"cg00330789"
"39121","cg12833683","chr8",100649114,100649115,"+","+",69732368,69732368,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,32,1,1,1,0,"cg12833683"
"39122","cg10631933","chr8",100708545,100708546,"-","-",38648349,38648349,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,61,1,1,1,0,"cg10631933"
"39132","cg07518837","chr8",101225078,101225079,"-","-",20676476,20676476,"II","Both","CG",FALSE,FALSE,1,0,"Island",6,61,1,1,1,0,"cg07518837"
"39136","cg25516633","chr8",101315846,101315847,"+","+",71710301,71710301,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,37,1,1,1,0,"cg25516633"
"39141","cg12163532","chr8",101428643,101428644,"-","-",13795337,13795337,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,57,1,1,1,0,"cg12163532"
"39146","cg03686887","chr8",101573204,101573205,"-","-",15727439,15727439,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",1,45,1,1,1,0,"cg03686887"
"39153","cg04504715","chr8",101718986,101718987,"+","+",71747338,71747338,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,54,1,1,2,0,"cg04504715"
"39159","cg27629934","chr8",101905228,101905229,"-","-",14732339,13682318,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,68,1,1,2,35,"cg27629934"
"39164","cg03547730","chr8",102138864,102138865,"-","-",45787306,74790345,"I","Red","CG",FALSE,FALSE,0,0,"Island",10,79,0,1,1,0,"cg03547730"
"39166","cg13513498","chr8",102170922,102170923,"+","+",11684348,11684348,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,46,1,1,1,0,"cg13513498"
"39168","cg20628734","chr8",102289844,102289845,"-","-",33791367,33791367,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,38,1,1,1,0,"cg20628734"
"39177","cg20585841","chr8",102729926,102729927,"+","+",24748318,24748318,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,51,0,1,1,0,"cg20585841"
"39183","cg00569101","chr8",103138381,103138382,"+","+",11653362,11653362,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,47,1,1,1,0,"cg00569101"
"39186","cg14963498","chr8",103249127,103249128,"-","-",49737334,49737334,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",1,50,1,1,4,0,"cg14963498"
"39191","cg24273876","chr8",103251481,103251482,"+","+",55664362,28692466,"I","Red","CG",FALSE,FALSE,0,0,"Island",5,69,0,1,2,0,"cg24273876"
"39198","cg11890239","chr8",103541014,103541015,"-","-",74761494,74761494,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,58,1,1,2,0,"cg11890239"
"39203","cg01552137","chr8",103666168,103666169,"+","+",40641300,40641300,"II","Both","CG",FALSE,FALSE,0,0,"Island",10,70,0,1,2,0,"cg01552137"
"39218","cg02389252","chr8",104152279,104152280,"-","-",32723437,32723437,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,63,1,1,1,0,"cg02389252"
"39226","cg02628704","chr8",104253229,104253230,"+","+",39664371,39664371,"II","Both","CG",TRUE,FALSE,0,0,"Open Sea",1,43,1,1,1,0,"cg02628704"
"39243","cg23682134","chr8",105328946,105328947,"+","+",23804347,23804347,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,47,1,1,1,0,"cg23682134"
"39244","cg08955792","chr8",105338401,105338402,"-","-",28725408,28725408,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,53,1,1,4,0,"cg08955792"
"39252","cg10644647","chr8",105520501,105520502,"-","-",20613407,20613407,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,27,1,1,1,0,"cg10644647"
"39276","cg23686352","chr8",109054365,109054366,"+","+",30710474,30710474,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,1,1,1,0,"cg23686352"
